month,revenue_billed,cash_collected,collection_rate,accounts_receivable,active_clients,new_clients,headcount,payroll_expense,rent_expense,software_expense,marketing_expense,utilities_expense,misc_expense,one_off_expense,total_operating_expense,gross_profit,net_profit,cash_balance
2019-02-01,449075.27,403718.67,0.899,495444.82,20,3,11,219030.01,45000,20114.76,32260.33,8063.58,8315.69,0.0,332784.37,116290.9,116290.9,906616.94
2021-10-01,1560764.86,522551.19,0.335,3371133.47,30,2,14,496101.89,45000,23707.27,47341.14,8684.72,9741.33,0.0,630576.35,930188.51,930188.51,1597306.3
2019-06-01,"₹456,747.88",411986.59,0.902,646638.07,21,2,11,228262.09,45000,20258.66,31671.56,7925.57,12467.9,0.0,345585.78,111162.1,111162.1,968355.56
"September 01, 2019",464779.18,432244.64,0.93,546808.05,22,4,12,246219.46,45000,19398.01,38664.54,8168.06,8009.49,0.0,365459.56,99319.62,99319.62,1086416.22
2019-01-01,423601.0,385053.31,0.909,799704.33,22,5,11,191351.9,45000,19754.99,31673.87,7868.24,14585.59,0.0,310234.59,113366.41,113366.41,835682.64
"May 01, 2021",513986.57,478007.51,0.93,444513.23,30,4,14,272399.75,45000,24481.54,42761.05,8967.69,11981.21,0.0,405591.24,108395.33,108395.33,1770530.46
"December 01, 2018",462504.19,422266.33,0.913,625642.46,22,3,11,218626.61,45000,17335.11,40846.59,7633.29,9939.91,0.0,339381.51,123122.68,123122.68,760863.92
2023-07-01,"₹620,755.18",581647.6,0.937,799453.59,35,3,16,362204.19,50000,28454.12,44048.57,9231.01,14947.02,0.0,508884.91,111870.27,111870.27,1239857.19
01-01-2020,465653.06,430729.08,0.925,449925.29,25,1,12,239645.74,45000,22151.09,29640.83,8759.73,8103.35,140516.46,493817.2,-28164.14,-28164.14,1224949.35
2024-02-01,694890.75,654587.09,0.942,636912.25,37,3,17,390954.92,50000,30775.44,47974.15,9750.53,8183.99,0.0,537639.03,157251.72,157251.72,1170947.96
01-04-2019,455069.78,428675.73,0.942,972886.68,23,2,11,227538.42,45000,20087.76,,8513.83,13082.51,0.0,314222.52,140847.26,140847.26,990702.19
2020-10-01,515074.19,446569.32,0.867,633795.85,28,3,13,279884.48,45000,21945.58,,,12992.45,0.0,359822.51,155251.68,155251.68,1518788.55
2019-07-01,461682.17,397970.03,0.862,1014529.8,22,2,11,223303.01,45000,20159.01,37795.17,8007.15,8103.24,0.0,342367.58,119314.59,119314.59,1023958.01
2022-11-01,648918.95,574293.27,0.885,609564.73,33,1,15,368236.98,50000,25983.52,64704.23,8971.98,14779.17,0.0,532675.88,116243.07,116243.07,1778234.4
2021-06-01,"₹506,852.82",436907.13,0.862,792489.47,28,3,14,294903.82,45000,24208.02,41196.12,8474.17,12346.21,62491.05,488619.39,18233.43,18233.43,1678185.29
2023-05-01,611453.28,520958.19,0.852,812455.5,34,3,16,349103.7,50000,27872.61,51349.99,9451.57,10408.57,0.0,498186.44,113266.84,113266.84,1242923.19
2018-03-01,401064.12,376599.21,0.939,443436.4,19,2,10,190110.07,45000,,25610.85,8146.44,12447.62,0.0,281314.98,119749.14,119749.14,957834.68
2022-02-01,584923.7,505959.0,0.865,623137.12,30,3,14,300160.57,50000,25783.87,49110.62,9396.37,12721.05,0.0,447172.48,137751.22,137751.22,1480630.16
2023-03-01,"₹628,864.38",551514.06,0.877,684785.59,35,2,16,379042.55,50000,27747.08,49014.31,9495.95,14987.43,0.0,530287.32,98577.06,98577.06,1225807.51
2020-07-01,"₹493,467.12",466326.43,0.945,389608.58,27,3,13,262370.23,45000,22056.7,40076.44,8622.07,13043.92,0.0,391169.36,102297.76,102297.76,1400164.26
2019-11-01,510232.72,481149.45,0.943,352389.08,25,3,12,245686.8,45000,19228.54,41932.39,8513.54,12968.17,0.0,373329.44,136903.28,136903.28,1262175.1
2020-04-01,468079.65,422207.84,0.902,492363.53,26,1,12,235457.05,45000,21283.14,38907.27,8179.29,13435.75,0.0,362262.5,105817.15,105817.15,1303368.7
2023-04-01,624221.68,566169.06,0.907,526200.46,36,5,16,384851.87,50000,,43576.43,9582.24,9969.17,73845.42,571825.13,52396.55,52396.55,1220151.44
2024-11-01,"₹770,106.26",684624.47,0.889,904148.77,40,3,18,446280.61,50000,29854.62,70877.11,9848.31,9676.4,75264.72,691801.77,78304.49,78304.49,707928.26
01-03-2020,478012.51,430211.26,0.9,730055.35,26,4,12,239470.74,45000,21490.4,31509.93,8299.51,10712.33,0.0,356482.91,121529.6,121529.6,1243423.36
01-08-2021,"₹542,912.03",496221.6,0.914,565624.95,29,3,14,293877.76,45000,24713.64,36664.79,8812.41,11997.76,0.0,421066.36,121845.67,121845.67,1664813.33
2022-03-01,581400.53,516865.07,0.889,506931.03,33,1,15,335138.19,50000,26040.14,37264.16,8732.73,13363.04,0.0,470538.26,110862.27,110862.27,1450972.21
"April 01, 2022",579512.55,549957.41,0.949,533724.79,32,1,15,333369.19,50000,25828.12,35930.49,9204.26,9337.79,0.0,463669.85,115842.7,115842.7,1537259.77
01-10-2019,494729.26,434867.02,0.879,1048684.0,24,5,12,248053.85,45000,20088.32,45851.26,7934.72,,0.0,366928.15,127801.11,127801.11,1154355.09
2022-12-01,1802430.79,594944.76,0.33,4506076.98,33,4,15,612313.61,50000,26516.13,53019.31,8898.16,5486.98,111036.68,867270.87,935159.92,935159.92,1267193.55
2020-09-01,486611.55,420432.38,0.864,564276.5,27,4,13,288742.66,45000,22452.2,38869.49,8856.82,7533.83,0.0,411455.0,75156.55,75156.55,1432041.74
2022-05-01,"₹564,848.27",531522.22,0.941,533426.64,33,2,15,319898.94,50000,25984.32,42172.21,8994.63,5841.15,0.0,452891.25,111957.02,111957.02,1615890.74
2021-01-01,520207.68,482752.73,0.928,452617.52,28,2,13,267996.62,45000,24348.42,43582.93,8444.78,13505.34,0.0,402878.09,117329.59,117329.59,1643287.66
01-02-2021,505964.24,464981.14,0.919,462933.19,28,1,13,262216.66,45000,24520.64,,8716.84,9423.14,0.0,349877.28,156086.96,156086.96,1758391.52
2024-04-01,698532.51,655922.03,0.939,1338068.23,38,3,17,421086.21,50000,29429.95,54015.69,9238.36,10072.93,0.0,573843.14,124689.37,124689.37,1254514.37
2018-11-01,"₹449,443.50",386521.41,0.86,449455.98,20,3,11,224645.82,45000,17689.53,41162.01,,13566.14,,342063.5,107380.0,107380.0,752539.7
2024-08-01,700231.31,657517.2,0.939,721096.73,40,2,17,412808.96,50000,29439.0,58846.56,9242.75,6995.42,733207.61,1300540.3,-600308.99,-600308.99,607824.46
2023-11-01,"₹693,754.22",619522.52,0.893,894166.33,37,4,17,387442.1,50000,27715.98,58864.81,9233.89,11832.58,,545089.36,148664.86,148664.86,1199196.59
2020-05-01,507853.91,471288.43,0.928,479627.81,25,4,12,242969.52,45000,22057.71,36999.99,8786.06,9627.99,0.0,365441.27,142412.64,142412.64,1409215.86
2020-06-01,488152.47,421763.73,0.864,798497.87,26,3,12,256232.44,45000,21572.11,33774.19,8393.11,8274.96,0.0,373246.81,114905.66,114905.66,1385105.69
2020-08-01,505055.1,466165.86,0.923,547305.86,27,2,13,275314.91,45000,22577.15,31971.29,8591.5,,0.0,383454.85,121600.25,121600.25,1482875.27
2019-05-01,464963.61,419397.18,0.902,516332.24,23,5,11,227204.96,45000,19271.86,32955.42,8643.9,13916.77,0.0,346992.91,117970.7,117970.7,1020900.28
2023-02-01,628677.15,505456.43,0.804,620129.71,36,4,16,352655.25,50000,27580.25,51123.73,9128.43,13533.45,0.0,504021.11,124656.04,124656.04,1342322.85
2018-02-01,416637.84,388306.47,0.932,442392.99,19,3,10,191699.35,45000,18087.34,25662.99,8262.1,11316.64,0.0,300028.42,116609.42,116609.42,930033.9
2023-06-01,"₹645,047.22",569576.7,0.883,1162009.35,36,5,16,373510.86,50000,,48229.29,9372.75,7993.83,0.0,489106.73,155940.49,155940.49,1167094.5
2024-03-01,686029.13,611251.95,0.891,748712.32,38,1,17,409791.61,50000,29754.37,41488.2,9232.39,12251.83,,552518.4,133510.73,133510.73,1172435.48
2018-04-01,403016.3,361505.62,0.897,514312.76,19,2,10,195530.39,45000,17961.13,26467.18,8135.85,9371.52,655298.46,957764.53,-554748.23,-554748.23,361575.77
2020-12-01,551361.89,488506.63,0.886,867017.31,26,2,13,282927.04,45000,21436.45,54431.85,8450.32,8833.2,0.0,421078.86,130283.03,130283.03,1563413.02
2024-06-01,670269.26,626031.49,0.934,877890.19,39,1,17,418449.53,50000,29570.05,54859.67,,11107.7,0.0,563986.95,106282.31,106282.31,1177718.77
2022-07-01,576898.48,539400.08,0.935,816279.17,33,5,15,331602.29,50000,26560.44,39526.07,8999.05,10314.11,77826.3,544828.26,32070.22,32070.22,1624070.36
